,Unnamed: 0,Arabic_Tweets_Cleaned,label
45,9,اغلب تعليق سابق اقل وصف انها سخيف وبه افتراء,MSA
46,9,اتوقع اشتغل نظام راح ارتفع ميزانيه 10,MSA
47,9,اما الان حدث لا حرج الان خرج على موض,MSA
48,9,ناس فرح عارم شعب نصراوي,MSA
49,9,مين لي ان,MSA
50,10,بس لو عند ثروه ارحم ناس نسب عالي نفس حق,DIAL_GLF
51,10,راي اظن انو كثير عماني بشاركوني,DIAL_GLF
52,10,مقال ساذج اشعل خلاف,DIAL_GLF
53,10,اما فقير مافي امل,DIAL_GLF
54,10,اردن اولا صلى,DIAL_GLF
55,11,اسم باب رفعة 39 سن مولود,MSA
56,11,في لوقا 18 19 ليس احد صالح الا الله,MSA
57,11,اله صادق ربيع اخطاء طبي,MSA
58,11,هل كابتن ابراهيم سوف صدر بيان منع تعامل,MSA
59,11,من سلام,MSA
60,12,الله رحم صبر اهل,MSA
61,12,مقال افتقد سلاسه لم هنا لم هنا انصحك تدرب مقال خليك نقد فني,MSA
62,12,اغرب خبر سمع هالسنه رمى اخرج بير,MSA
63,12,خصص محاسب أفتى,MSA
64,12,ساعة هنعمل,MSA
65,13,عامل طلع خشوم مواطن,DIAL_GLF
66,13,اخواني عربي,DIAL_GLF
67,13,جنون سلط خيل بعض فوق قانون يستهن ارواح ناس كرامة أعد انفس فوق بشر ولاتحسبن الله غافل عن فعل ظالم لكن يوخر شخص في,DIAL_GLF
68,13,عقبال منصب,DIAL_GLF
69,13,هم اشفي مريض,DIAL_GLF
70,14,تام جوال,MSA
71,14,مال داعي نترزز قدام,MSA
72,14,تستاهلون خير يااهل عفيف امر بيد مدير,MSA
73,14,جامع كنايس ملك لي مشغلينك بعد ام حمش انزل حط برادعي زنزانه حق بطلواده,MSA
74,14,استشرى بيروقراطيه خنق نشاط مبادر اصبح تعامل حكومه اجهز مصدر معاناه عذاب طال سنة تسبب بيروقراطيه فساد حكومي انهيار مركز مصر تنافسي استشري ركود اقتصادي نتيج سياسة جبايه بلطجه من ادي ازدياد معدل بطاله صورة غير مسبوق,MSA
75,15,لم قدم مجلس شوي تاسيس خدم مواطن منفع بل عكس,MSA
76,15,راءد رياض,MSA
77,15,لا حول لا قوه الا الله,MSA
78,15,هناك افلام رعب افلام تخويف افلام تشويق هنامك افلام مصاص دم كل رعب خوف,MSA
79,15,توفيق كتيب زعيم كتيب نمر كتيب,MSA
80,16,هذا بلد اهل,MSA
81,16,مقيوله,MSA
82,16,عنى 11000 ريال علشان شغال غيرالراتب 800 ريال,MSA
83,16,مثل هناك اغني لازرعلك بستان ورود حول كلمة لافتحلك علبة سردين شوي دالية,MSA
84,16,ارفع ظلم مواطن,MSA
85,17,اتمني أفرد كاتب نبذ تطور مجتمع تونسي عبر تاريخ قيمة مثل راءعه اتصف موقف بطوليه راءعه ملحمه الاسلاميه سطروها عبر,MSA
86,17,عنى الا غصب سوى تب الله رحم مزن بس,MSA
87,17,موضوع لواء عقداء عميد مقدم قادم جيش الذي تولى منصب رفيع داخل زار تربيه تعليم انت طبع عارف كويس دولة جم ازاي اوعي قال كفاء موضوعي,MSA
88,17,شفاء,MSA
89,17,يش معهد اداره عام مايك مشمول ضمن برنامج خادم حرم شريف,MSA
90,18,امن عقوبه اساء ادب,DIAL_GLF
91,18,مشكل مرور اصبح مصدر دخل دولة ليس قطاع تنظيم حرك سير طريق بد مسءول توعي رجل مرور منح دورة تدريبي تعامل اخر,DIAL_GLF
92,18,انس احترام رجل كيف ترشح سوريا يابان مجموعة ناس متناسي السعوديه ها السعوديه خيو السعوديه حترجع قوه,DIAL_GLF
93,18,فدية عالم,DIAL_GLF
94,18,توفيق زعيم نادي,DIAL_GLF
95,19,حق عدم مشاركه سفر مصر قضاء اجاز عاءلي حين جمع تبرع جمهور صبور تسديد راتب متاخره مقدم,MSA
96,19,لماذا قاهره ذات الذي تعامل دولة عربيه حسن تعامل نفس دولة سيءه الله ياقاهره,MSA
97,19,الله قادر,MSA
98,19,خل خرابيط ثاني,MSA
99,19,توفيق زعيم نادي,MSA
100,20,اباد جماعي,MSA
101,20,يهودي هم الا برغوث حمار بريطاني هم حمار امس امريكا حمار,MSA
102,20,قال دكتور عاطف عوام ناءب رءيس جامع شءون تعليم طالب مهرجان اجل مصر هدف خلق سلوك ايجابي لدى طلب اقام عديد ندوة اظهار موهبة كما هدف مهرجان مجموع مطلب اراد طالب حصول حكومه مثل مشروع شب انشاء مدينة جديد تشجيع تنميه مكافح واسطه,MSA
103,20,انسان عند قرين جن ملازم,MSA
104,20,انتو طال قعد ناس محترمه,MSA
105,21,اهتمو تمريض الله بعض متخرج امتياز ليس تقدير احترام مستشفى حتي اضطراريه يعقدوهم موافق هذا حقيقه ارفع مدير تمريض وزاره لان هءلاء دور,MSA
106,21,مسءل قال حشيش اختفي عشان ياخدوه هم نسي بلد,MSA
107,21,ادلع,MSA
108,21,سبيل مثال لا حصر اناجيل اربعه,MSA
109,21,شكل فلس مضيق تبي تصرف شي,MSA
110,22,17 سن انت ذو مسلسل جزء,MSA
111,22,باراك الله في لا استغنى مثل هاذي تقرير سر عين الله,MSA
112,22,كيف حسب تفصيل علشان اقتنع,MSA
113,22,اذ مجرم هو استحق قتل لكن,MSA
114,22,زعيم ملك احسن حارس,MSA
115,23,فوز هلال شاء,DIAL_GLF
116,23,عام كان مناصف لان قال اذ كان اخو تقاسم هذا,DIAL_GLF
117,23,الله,DIAL_GLF
118,23,صحفي فاهم عقال جن انضباط دور حالة اغفل حكم اما حال تعامل مع سيد خليل جلال حق أبدى عقوب انتم فاهم قانون لا,DIAL_GLF
119,23,جزى الله خير عوض افضل,DIAL_GLF
120,24,اكثر فرقة هرطق دموي رفع,MSA
121,24,ام ايمن حاضن نبي رضي الله,MSA
122,24,صراحه لويخفضون رسم تاشيره انااول اقدم,MSA
123,24,ياسلام يابو,MSA
124,24,سمع حد صار مع هي اسبانيا طيب مال,MSA
125,25,الله رحم يوم,MSA
126,25,يالله,MSA
127,25,وين يش مش فاهم عنى زار تربيه حل قضية اساسيه جوهري تفرغ حل قضاياالشكليه يش وين بعد,MSA
128,25,جزى الله خير يادكتور موضوع متميز فضل الله انجب طفل قريب الله حمد فضل متابعه اطباء مركز دكتور سليمان حبيب طبي الله سبحان تعالى انجب طفل سليم علم اني مريض سكري,MSA
129,25,لعنبو عورتن ستر,MSA
130,26,زواج مبكر لازم موضوع مهم 14 15 هما,MSA
131,26,لغ بيان تعبير دال لهو خير دليل بل اظن اقوي دليل مصر دخل حقيقه حقب تغيير وجب على نتحل يقظه حذر لان موضوع بقي جد لن استسلم طاغوت سهل عون رعاية حفظ مصر امان سخاء رخاء ساءر بلد,MSA
132,26,وات دنيا هي راغم,MSA
133,26,نصيح وجه الله استقدم بحرين فيزا فين راتب 600 ريال خالة مستقدم من شغال,MSA
134,26,الله عون اخوان تعداد مشروع وطني جهد مشكور قام تنفيذ طاع ولي امر حفظ الله ليت جهد وجد تعاون اخوه مواطن,MSA
135,27,امار ظاهر خبر اول مر عالم جملة ولد طريق حباري دجاج اعتقد هدف نشر اول مر عالم الا فاءد مثل امور لا علاق تقدم طبي لا تقدم صناعي لا غير ظاهر اول مر عرف بوويضه امور اخري,DIAL_LEV
136,27,هم حق يطالبو شيء الله ييوخذلهم حق انتقم جبار خاءن,DIAL_LEV
137,27,مشروع سوف زال نهاي عام حالي سبع,DIAL_LEV
138,27,الله رحم,DIAL_LEV
139,27,هل أحضر طاش طاش قطر ام شاهد سوزكي يابان سلملي,DIAL_LEV
140,28,بس عاوز فتره جايه شوي تفكير معا لاعب احسن فريق دوري سن تعب شوي دور امم افريقيه لكن شغال كويس ربن,DIAL_GLF
141,28,كتب ولي امر مشرف فني تعليم يري امور,DIAL_GLF
142,28,بعد بيعرضوا امر مجلس شعب هو مثل يشوف راجل هيقول,DIAL_GLF
143,28,عند روح رياضي داعي,DIAL_GLF
144,28,لم حلم لن حلم باني كان مدرب نادي زمالك لكن ظرف نادي غير طبيعي ات عرف ذالك جيد وبل ايض عرف لن طال اقامه نادي زمالك اما سبب احتمال خروج مجلس اداره حالي عدم اعاد انتخاب رفض ابناء نادي مخلص تواجد ابراهيم اسباب كثير,DIAL_GLF
145,29,راءع كلام اسطور تلميح رب تم فهم مرور عشر سنة أقبل حب تقدير,DIAL_EGY
146,29,محمد فهم,DIAL_EGY
147,29,رب نصاب تشحن لا ماتشحن نصب اذ جيت اتصل تسال واحد يكلمك طرف خشم قال عند خدمة وش خدمة قال ارسل طلب عنى قصد اشحن عطنء,DIAL_EGY
148,29,من ضحك انها استغرق تقريب,DIAL_EGY
149,29,مال,DIAL_EGY
150,30,منافق,MSA
151,30,الله رزق كل با شاب صلح عصبيه قبليه صلح حريث نبي صلي الله سلم معني حديث اتا رضي دين خلق فزوجوه قبيل قريب في مشكل ثا ني عنوسه هي غلاء مهر اتلل مستعان مفروض تدخل ولى الا مر حل هذا مشكله هذا,MSA
152,30,قضية كف عفريت منشط لكن واضح مدير اعمال هسترت,MSA
153,30,الله رد اهل,MSA
154,30,عصبيه قبيل اتقف سبب,MSA
155,31,غالي حسام لان سوف انتزع فوز باطل,MSA
156,31,رد نجم مارد فعل لا قول ادعاء مفاد فريق عاش حال احباط احباط سجل اهداف متاخر رد هدف دخل مرمى غريب كثير مطبل الذي يطبل لاي شيء سمع ضد وحدة كان فرح هذا ادعاء مهم تاهل دون خسار علي باقي محا اثار خسارة ذهاب تمني تاهل فيصلي استعاد ايا ذكرى دوري حلق جديد أخذ,MSA
157,31,نشامي همو ولي قاتل معرك كرامه طرد يهودي بلد نشامي همو عين ساهره راحتنا همو رجل امن دفاع مدني جيش عربي مخابرة عام نشامي همو موظف حريص مصالح وطن قوم واجب شتغل ذم ضمير ولي ساعد نماء وطن ادعم فقير طلع زكى اموال اعمل طرد خير خصوص انو رمضان ابواب حالي ادعم ناس ولي نام خيم تحت واح زينكوا ادعم مرض سرطان مرض غسيل كلي كل محتاج كل طالب مش لاقي شن حط تيه ادعم مدرسة اقل حظ صوب فصل شتاء ادعم عامل ولي بعيشوا كفاف علي اخر شهر ادعم تبرع مسجد كون افضل مافي داعي دعم شركة خلوي لانو ارباح مليون ما عمل اشي خير الا دعاية انفس بس,MSA
158,31,شاء,MSA
159,31,تحريانكم جاتكوا خيب تعليم رب احسن اشرف تعليم دخليه علي بابا حراميه انتو عارف حاج شاب مصر اخوان شريف احمو تمرد حراميه منافق دعاره سيلسيه,MSA
160,32,ااخ يالقهر شاف شواطءنا دون نفط كيف وسخ,MSA
161,32,لن ركع غز الا الله,MSA
162,32,حديث ابناء زعيم عند انتهى مشوار كبر سن يكافءهم زعيم ترك حريه مطلق اختيار ناسب وجد جميع انديه تتراكض وراء اجل استقطاب لعب مع غضي نظر عمر سبب انتمى زعيم فيصلاوي عند تسريح قبل نادي تجديد دم واعد هذا سن حياه بكره قدم اعلي جاهزي فني تكتيكي خبر ميداني اكتسب زعيم هذا حسب نادي حتي عند احتياطي نادي وجد اصبح اساسي نادي جديد لا استطيع حصر كثر ابناء زعيم معظم انديه,MSA
163,32,لغ حب توحد,MSA
164,32,يتكلبش انحط صورة اسم صاحب مصنع جرايد,MSA
165,33,ادار وحدة بحث اسليب ناجحه اختيار طريق لعب خارجي اختيار ادو لاعب عن تادي خطة حسب اقتضى المباراه الا أبقى وحدة مكان سر,DIAL_GLF
166,33,شكر شكر صاحب سمو ملكي امير منطق الثق تكليف استاذ ماجد ابن نهار جبلي عمل محافظ,DIAL_GLF
167,33,سنة زيار مصنع امتلك اسر زوجة صين بدا اسال اجور عامل قارن اسعار منتج سلعة غذاءيه مرطرطه سوق عند اسعار زهيد دون صال اسعار خدمة عام مواصلة ادمي ايجار منزل متواضع حديث كهرباء غاز تعليم غير ذلك في ظل استنتاج شعر حسره حزن ليس عامل بسيط مصر بل اغلبيه عظمي حامل شهادة غلابه الذي لم وجد بدا الا ركوب موج علي فلس اشتغل بك عمل اكثر عمل اجل سببوه هنا هناك اصبح ذلك عرف برض مش كفاي,DIAL_GLF
168,33,صراح غير تعصب الف مبروك لبرشلونه كاس عالم شكر كاسياس,DIAL_GLF
169,33,شكر كاتب معلومة نعمة باهل رس خاص باهل قصيم وجد عام مدين رس احدي مدينة قصيم هي مدين قصر بءر قبل اربعماءه سن اشترى ابالحصين عجمان اسس ابناء توارثوها اصبح غالبي قطن عجمان الا نزح الي قباءل اخري تميم مطير حرب,DIAL_GLF
170,34,انالله الي راجع الله رحم متوفي سكن فسيح جنة عوض دار افضل دار شفى,MSA
171,34,جماع ربع تراجع اقوال ادي صلا جمع جماع ارجو طلب علمي لا ياخذ كلام حجاب واجب ملزم احب اقول بلجيك عسا ثار اعداء اسلام قاطعوهم باب امي انتم اللهم اهلك اساطيل زلزل عرش مساطيل,MSA
172,34,استمر ايض تجاهل ظاهر دون دراس اسباب معالجة,MSA
173,34,صراح طرح جميل عاد استاذ,MSA
174,34,اسف عانى فساد مش قنطرة لا مصر رب انتقم من عشان رضي شعب حصل عيب مش بلد عيب في لو وقف قدام كلب عاوز سرق بلد بدل نسرق معا هننضف الله بس امتي قرر عمل,MSA
175,35,الله عين جميع,MSA
176,35,لم مستحيل ننسي اجمل ليلة فن طرب عاش ست كل لي لس حمد الله نعش,MSA
177,35,بارك نشامي فرنج تاهل عقبال ممتاز,MSA
178,35,معلوميه هذا اقوي نتيج جت هلال,MSA
179,35,عقل قلب بيت ثاني,MSA
180,36,شهاد برادعي سنيور صالح عراق ممكن رجع ارشيف جريد شرق اوسط سن 2003 هتلاقي علاق بوش برادعي زف سبب تقرير تبرء,MSA
181,36,ناحي جن انحياز تعود من ها امور,MSA
182,36,حي سلام عدن,MSA
183,36,كسا رجل مهاب,MSA
184,36,مقال راءج جد أعطى,MSA
185,37,يشوف حاج يشوفش من غير عاوز فسر كيف فين تحرش صور واحد صدفه عاد قدام اخدل مصور معندوش دم صورة بق تحرش,MSA
186,37,لاعب موهب,MSA
187,37,حسب الله على مبزر,MSA
188,37,ري مصر كتير زيك من رب,MSA
189,37,خبير شكل نايمين عسل احلام سعيد,MSA
190,38,انها ماسا مجتمع اكمل صعد هاويه,DIAL_EGY
191,38,رايت برنامج صدم من قال,DIAL_EGY
192,38,جميع عين مارد اخضر بعض يتمني خروح وحدة مولد لا,DIAL_EGY
193,38,وش عمل عكس راح صلح بلد احسن بلد يمن,DIAL_EGY
194,38,اقول الا الله عون ضعيف فقير ذو خل,DIAL_EGY
195,39,لجنه تحامي فريق نصر,DIAL_EGY
196,39,فين,DIAL_EGY
197,39,متابع شوبير برنامج رياضيه نجم اف ام صدق قول مات طبال صوابع لعب لن توقف تصفي حساب نرحسيه اخر اسمع تعليق موضوع عصام حضري منتهي حقد كراهيه,DIAL_EGY
198,39,رافت ولع كشكش حرق حويطي اشعل سباح,DIAL_EGY
199,39,توفيق عالمي اتوقع بيدق خشم هلال احد,DIAL_EGY
200,40,ما دخل مستشار عدل حسين ماحدث حيث دكتور محمد برادعي ادي صلاه حسين منصور زار بابا كاتدراءيه اي تحرك برادعي محافظة قاهره منصور ما دخل محافظ قليوبيه غريب قال كلام قام زيار كنيس اي قام نفس فعل الذي اعترض ام ذلك حلال حرام برادعي,MSA
201,40,الله رحم ماشاء الله,MSA
202,40,تعدد مشروع حفظ زوج كاف حق سواء مادي معنوي وقت محسوب زوج عدل الا شيء قلب ذلك لا طاق بشر,MSA
203,40,أحب واحد درج حرق نفس عشان طيب لي راح اتجوز واضح مش طبيعي حصل خلاف قام يتجوز رفع خلع قام حارق نفس ذم رد افعال انسان سوي عموم اله رحم لان مات خلاص,MSA
204,40,فيفا أجاب حق اما حب خشووم عربي خليجي ماينفع,MSA
205,41,سمير زاهر وجب دخل أنهى هذا,MSA
206,41,قصدي مستشفي,MSA
207,41,مايحس عل الا قلب,MSA
208,41,الله احتفال وظيفه ليس,MSA
209,41,اولي حنان لم اجد ليل صدر غير ضوء,MSA
210,42,وان عوض خير عمل,MSA
211,42,يستاهل انتر حظ اوفر نادي برشا ملقب نادي الهب,MSA
212,42,وش مشكله ام حضر وفق اجراء ضمن خصوصيه لا صار عقل مثل حجر تغير لا حرم احل الله ضاق خلق الله,MSA
213,42,رسول كريم يتيم كافل يتيم جنه اوصا قران كريم يتامي مالم أوصى كتاب اخر,MSA
214,42,اتوقع مرشد طلابي مهمة اكثر تعب اكثر بدل مسءل فصل ماد مسءل جميع,MSA
215,43,لا عزاء لال,MSA
216,43,اخلاق ليس,MSA
217,43,عقد خامس عجري مع,MSA
218,43,امطار خير عروس مصيف جاينك صيف يالب عيال شهيد جنوبيه تحية,MSA
219,43,لدى مدرب مستوي,MSA
220,44,زود الله ماتحسون سنة جاثم قلب بخرابيطكم ومثالياتكم نفاق يوم انفتاح اعلامي صاري نادي ياخذ حق انتم كان حارمينه,MSA
221,44,اهم شي كوره خلو كلام لا يود لا,MSA
222,44,فعل هلال ثبت بطل ورقة دون اجانب أصبح فريق فرق اندي درج اولي,MSA
223,44,لكن شاء الله نجم زعيم تدارك مثل اخطاء نها المباراه صالح,MSA
224,44,حي نظيم,MSA
225,45,موفق شاء الله انكمل,MSA
226,45,لدى تساءل,MSA
227,45,رجاء معني اعاد نظر راتب مشرف تاهيل تدريب رجاء متابعه موضوع تسليط ضوء,MSA
228,45,مشكله هاللي أعطى يبون,MSA
229,45,سيد خس مملكة حبيبه لا مانع لفت انتباه ناس تحول غذاء نباتي لكن اخذ موافق مسءول عدم تسبب ازم مروري شوفيلك ساح فاضي عبري راي بادي رويشد فاضي روح,MSA
230,46,الا مارحم الله بنيه مسكين متربي خلوق تبي احد حافظ,DIAL_GLF
231,46,توفيق ليوث,DIAL_GLF
232,46,جزى الله خير استاذ منصور كتابة تاريخيه غاي روع سيما حين كتب تاريخ حضاره اوروبيه حرب صليبيه بطولة اهالي رس شهد مءرخ اوروبا فعل,DIAL_GLF
233,46,حب اشكركم,DIAL_GLF
234,46,نظام فاشل لو يوفروه مبلغ باهضه صروف على تحسين رفع مهارا منسوبي مرور امن عام الله افضل كثير سوف جنى مواطن لو هدف مصالح مواطن توعية اجل معقول كامرا واحده كلف مليون,DIAL_GLF
235,47,علي عم تري حدث شي طبيعي داخل,DIAL_GLF
236,47,مخالف خمس مايت,DIAL_GLF
237,47,خطي درب قوى الله,DIAL_GLF
238,47,انشارك اسراءيل حصار غز اما اردوغان هو رجل صلب واسراءيل عمل الف,DIAL_GLF
239,47,احمد عباس زواج خميس,DIAL_GLF
240,48,يامبدع اتمني كتب نحله حيث اطلع قبل ايام محضر قريب لقاح طايره لكن نحل رابط محاضره يوتيوبA Plea for Bees Needs Dr Elizabeth Elle اتمني اضاف مصطلح انجليزي مرجع يتسني اطلاع اكثر ليس مقصود بحث بعد,DIAL_GLF
241,48,راسي الله ابو زيد سعد,DIAL_GLF
242,48,ليطمءن شاب رزق الله اما خوف زايد طبيعه لا بد راجع نفس,DIAL_GLF
243,48,وين راح فلس فاتورة,DIAL_GLF
244,48,انصح رفع مقال غريب اكثر,DIAL_GLF
245,49,مناوبه,DIAL_GLF
246,49,اذ استعان استعن الله,DIAL_GLF
247,49,ثاني اراك عاد لمناكفات طيش شاب استطاع يستفزوك يجرونك مهاترات لا لاق كبير,DIAL_GLF
248,49,ثنيان احمد هم احق تمثيل,DIAL_GLF
249,49,شو خلى حضر استاذ رام تربوي متعلم فهمان,DIAL_GLF
250,50,اهني خادم حرم شريف ملك عبدالله ابن عبدالعزيز سمو ولي عهد وسموالناءب ثاني وا هني معلاة وزير صحه دكتور ربيعه طاقم طبي مشارك اجراء عمل فصل طفل سيامي اردني اخص تهني والد والد طفل ونتمناء لهماء حي مديد سعيد اذن,MSA
251,50,كلام سليم هذا ماذبحنا مظهر كذابه اسف يتسلف واحد سوى اغني رجل عالم مشكله ناس عارف فقير ماعنده شي لكن اسف مصمم,MSA
252,50,اولا بارك شاب اردن تاهل دور قادم انشاء الله حقق نتاءج جيد اما نسب فريق وحدة فريق ظهر شكل سيء عادى مشاركة سابق هو محلي ظهر شكل غير مستقر خارجي ظهر شكل سيء جد حق قال اردن لا استحق مثل فريق مثل وحدة لان حقيقه لايقدم شيء لا لعب لا مستوي لا خطة لا لمح فريق ظهر مفكك اجماعي لدى لاعب لايقدرون مجارا خصم لا لعب لا مهار لا بدني اخير قال فريق وحدة لا عزاء لان مثل بلد شعب لا مثل فريق فقط,MSA
253,50,اجل بنك سبت تولع,MSA
254,50,بطيخه احمر مونس لون داخل الله رحم,MSA
255,51,ازهر لا غبار هو قلع علم زمان,MSA
256,51,احول اقو الا الله الله رد ساالم غانم معافي أقر عين اهل يالله,MSA
257,51,اجل حلل,MSA
258,51,اي عظم حسام فين زمان كان محتاج رجل مثل رجل مناسب مكان مناسب نادي,MSA
259,51,حرام يابراهيم حسام انتم عاوز,MSA
260,52,قال عاش اكناف وحش,MSA
261,52,قرض تسديد مبلغ متاخره دواءر حكوميه باقي مثل 500 مر عفو,MSA
262,52,ري مرتي سمع رد ها حكي صدقيني انها قوي ما حد بقدرلها صراح خايف فظيحه بس رب,MSA
263,52,جمل,MSA
264,52,هل تاريخ سيناريو معين مشى,MSA
265,53,لو نتر شهر الا يطرطعون خاف حديد يصدي,MSA
266,53,اكبر مستفيد دون مردود,MSA
267,53,نادي فيصاي اسم كبير لكن اين ديمقراطيه واين تجديد نادي,MSA
268,53,دكتور نيف عمل دكتوراة تان ولاد ايمن نور اعرف انها خصص برادعي استاذ رءيس قسم كلي,MSA
269,53,جميع كان يقدرونك استغرب تصرف فايز قدام فريق اساسي عشر احتياط حيرتنا واربكتنا,MSA
270,54,ارحبو الله ان لترحبو مراحيب مطر,DIAL_GLF
271,54,خلك مجنون لا يجيك اجن من,DIAL_GLF
272,54,ابار استاذ احمد هذا رقى جعل الله خير عون حياة دنيويه عمليه,DIAL_GLF
273,54,سلم سلام كاس اردن,DIAL_GLF
274,54,الله الي راجع,DIAL_GLF
275,55,عبر معارض نشيطه متفرغه ووساءلها اعلاميه متنوعه جند ذلك,DIAL_GLF
276,55,رسال شعب,DIAL_GLF
277,55,كل عام,DIAL_GLF
278,55,سلم سلام كاس اردن,DIAL_GLF
279,55,الله الي راجع,DIAL_GLF
280,56,توفيق ازرق شاء,DIAL_GLF
